turn,player,money,tap
22,0,1735,1618
22,1,1675,1528
23,0,1735,1618
23,1,1675,1528
24,0,1735,1618
24,1,1675,1528
25,0,1735,1618
25,1,1675,1528
26,0,1735,1618
26,1,1675,1528
27,0,1735,1618
27,1,1675,1528
28,0,1735,1618
28,1,1675,1528
29,0,1735,1618
29,1,1675,1528
0,0,1550,1148
0,1,1585,1203
1,0,1550,1148
1,1,1585,1203
2,0,1375,1148
2,1,1660,1528
3,0,1375,1148
3,1,1660,1528
4,0,1575,1148
4,1,1660,1528
5,0,1575,1148
5,1,1660,1528
6,0,1575,1148
6,1,1660,1528
7,0,1575,1148
7,1,1660,1528
8,0,1575,1148
8,1,1660,1528
9,0,1575,1148
9,1,1660,1528
10,0,1575,1148
10,1,1660,1528
11,0,1575,1148
11,1,1660,1528
12,0,1075,1148
12,1,1860,3328
13,0,1075,1148
13,1,1860,3328
14,0,1025,1073
14,1,2010,3528
15,0,1025,1073
15,1,2110,3828
16,0,1025,1073
16,1,2110,3828
17,0,1025,1073
17,1,2110,3828
18,0,1025,1073
18,1,2110,3828
19,0,1025,1073
19,1,2110,3828
20,0,1025,1073
20,1,2110,3828
21,0,1025,1073
21,1,2110,3828
22,0,1025,1073
22,1,2110,3828
23,0,1025,1073
23,1,2110,3828
24,0,1225,1073
24,1,2110,3828
25,0,1225,1073
25,1,2210,4028
26,0,1225,1073
26,1,2210,4028
27,0,1225,1073
27,1,2210,4028
28,0,1225,1073
28,1,2210,4028
29,0,1225,1073
29,1,2210,4028
0,0,1550,1148
0,1,1585,1203
1,0,1550,1148
1,1,1585,1203
2,0,1350,1148
2,1,1685,1528
3,0,1350,1148
3,1,1685,1528
4,0,1550,1148
4,1,1685,1528
5,0,1730,2088
5,1,1355,1528
6,0,1730,2088
6,1,1355,1528
7,0,1730,2088
7,1,1555,1528
8,0,1730,2088
8,1,1555,1528
9,0,1730,2088
9,1,1555,1528
10,0,1730,2088
10,1,1555,1528
11,0,1730,2088
11,1,1755,1528
